Sex,Dimension,trait,Ind,n_reps,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mnm1,F9,10,-0.1537,0.16301897413997002,0.009999999999999787,high,0.032258064516128296,0.21397207490262615,0.032258064516128296,0.21397207490262615,3.205128205128205e-4,45,n.s.,3.205128205128205e-4,45,n.s.
female,breadth,mnm2,F1,10,-0.19725,0.2047177839592409,-0.41999999999999993,low,0.47368421052631404,0.8841675409895855,0.47368421052631404,0.8841675409895855,0.002380952380952381,180,n.s.,0.002380952380952381,180,n.s.
female,breadth,mnm2,F11,10,-0.19725,0.2047177839592409,-0.08999999999999986,high,0.2115384615384633,0.6116979717786232,0.2115384615384633,0.6116979717786232,7.352941176470588e-4,133,n.s.,7.352941176470588e-4,133,n.s.
female,breadth,mnm2,F14,10,-0.19725,0.2047177839592409,0.019999999999999574,high,0.3571428571428567,0.28092779799276824,0.3571428571428567,0.28092779799276824,3.546099290780142e-4,60,n.s.,3.546099290780142e-4,60,n.s.
female,breadth,mnm2,F15,10,-0.19725,0.2047177839592409,-0.4499999999999993,low,0.2894736842105249,0.8549207708376754,0.2894736842105249,0.8549207708376754,0.0019230769230769232,175,n.s.,0.0019230769230769232,175,n.s.
female,breadth,mnm2,F16,10,-0.19725,0.2047177839592409,-0.20000000000000107,high,0.021276595744680448,0.1485781178664749,0.021276595744680448,0.1485781178664749,2.9239766081871346e-4,30,n.s.,2.9239766081871346e-4,30,n.s.
female,breadth,mnm2,F18,10,-0.19725,0.2047177839592409,0.030000000000001137,high,0.10869565217391783,0.7181900007450837,0.10869565217391783,0.7181900007450837,0.0010204081632653062,152,n.s.,0.0010204081632653062,152,n.s.
female,breadth,mnm2,F2,10,-0.19725,0.2047177839592409,0.0600000000000005,high,0.2115384615384641,0.6800952774026996,0.21153846153846403,0.6800952774026996,8.474576271186442e-4,142,n.s.,8.474576271186442e-4,142,n.s.
female,breadth,mnm2,F28,10,-0.19725,0.2047177839592409,-0.3699999999999992,low,0.27419354838709414,0.548756184792276,0.27419354838709414,0.548756184792276,5.813953488372093e-4,115,n.s.,5.813953488372093e-4,115,n.s.
female,breadth,mnm2,F3,10,-0.19725,0.2047177839592409,-0.0600000000000005,high,0.47916666666666713,0.057697111882944914,0.47916666666666713,0.057697111882944914,2.7624309392265195e-4,20,n.s.,2.7624309392265195e-4,20,n.s.
female,breadth,mnm2,F33,10,-0.19725,0.2047177839592409,-0.34999999999999964,low,0.285714285714285,0.2615824576583825,0.285714285714285,0.2615824576583825,3.4246575342465754e-4,55,n.s.,3.4246575342465754e-4,55,n.s.
female,breadth,mnm2,F40,10,-0.19725,0.2047177839592409,0,high,0.04347826086956421,0.2948366468612609,0.04347826086956421,0.2948366468612609,3.5971223021582735e-4,62,n.s.,3.5971223021582735e-4,62,n.s.
female,breadth,mnm2,F5,10,-0.19725,0.2047177839592409,-0.17999999999999972,low,0.44444444444444337,0.8841675409895855,0.44444444444444337,0.8841675409895855,0.0025,181,n.s.,0.0025,181,n.s.
female,breadth,mnm2,F6,10,-0.19725,0.2047177839592409,0.129999999999999,high,0.2641509433962245,0.4202862114438724,0.26415094339622447,0.4202862114438724,4.4247787610619474e-4,88,n.s.,4.4247787610619474e-4,88,n.s.
female,breadth,mnm2,F7,10,-0.19725,0.2047177839592409,-0.13000000000000078,high,0.07692307692307553,0.3557330471871223,0.07692307692307553,0.3557330471871223,4e-4,76,n.s.,4e-4,76,n.s.
